time,Ia,Ib,Ic,Vab,Torque,Speed,Category
0.007525,1.02E-05,2.70E-05,2.64E-05,2.23E-11,331.160642,4.822133672,PTPF
0.5,11.84498151,11.8478744,11.85313225,474.5682608,31.75581743,147.8189935,NOM
0.007525,2.62E-09,2.78E-09,3.47E-09,3.18E-14,10.95496847,0.001152636,OLF
0.5,13.53730385,13.53803317,13.541408,474.9940242,35.52458109,146.1077886,NOM
-1.26E-15,-2.378216359,-3.689573042,-2.759417992,2.752371989,-0.062442587,-0.013472351,NOM
0.35,13.78840681,13.78844026,13.78843104,474.5649024,29.39112251,145.7844257,NOM
0.075124792,0.000350307,0.000301456,0.000348535,7.45E-07,2.966069446,0.038237583,NOM
0.5,21.84804397,21.84804318,21.84813831,474.9807796,51.06803458,137.105414,OLF
0.2,32.3772842,7.967677167,24.44157458,427.7627447,-2.282002928,132.7494861,PTPF
0.075124792,0.001261153,0.001487791,0.001642113,1.43E-06,16.30916361,1.975533499,PTPF
0.075124792,2.805358933,7.183300755,0.933826693,0.010574664,89.18047048,19.72880231,PTGF
0.2,26.41029763,9.970024976,19.46188684,362.4622148,-385.4324569,-92.68219635,PTGF
0.35,11.21970123,11.21975701,11.2197195,474.5693369,23.55478245,148.3935502,NOM
-1.26E-15,0.897972368,-2.277921324,-3.610150497,0.180297402,-0.063359812,-0.01329232,UVF
0.075124792,0.000622599,0.000796763,0.001100475,1.44E-06,15.55247702,1.887865906,PTPF
0.075124792,0.006287904,0.006171543,0.006454261,1.69E-05,4.291251227,0.060560175,OVF
0.2,26.53039645,9.98138237,19.46052337,362.4626518,-383.4268456,-92.3222589,PTGF
0.075124792,7.113127363,0.920414016,2.827097612,0.006260844,86.13962401,19.6595668,PTGF
0.086746758,0.037688886,0.043947711,0.042388089,0.000123863,6.995510684,0.177859113,OVF
0.35,10.87281206,10.87287527,10.87282812,474.5699552,22.72306597,148.7454485,NOM
0.007525,8.62E-07,1.05E-06,1.18E-06,4.65E-12,13.0852453,0.001579691,NOM
0.007525,1.63E-07,1.32E-07,1.50E-07,6.73E-13,12.50117946,0.001463035,OLF
0.075124792,2.43E-05,1.20E-05,1.38E-05,9.35E-08,1.561333404,0.019457502,UVF
0.086746758,0.001826353,0.002223623,0.002138873,4.63E-06,3.672913249,0.040725931,NOM
0.007525,2.975999873,20.46013419,117.407335,2.53E-05,15248.60909,640.2989489,PTGF
0.007525,3.13E-06,4.75E-06,6.51E-06,1.05E-11,301.4579588,4.372001805,PTPF
0.2,8.561744029,25.23843698,33.56080737,237.2860751,-0.048023275,130.8499273,PTPF
0.2,30.26031,7.433869184,22.97987826,428.1521729,-6.232608836,136.0604395,PTPF
0.086746758,0.002602087,0.00292128,0.003025296,4.29E-06,17.97931957,2.16580745,PTPF
0.2,11.83313441,11.8326052,11.83500261,474.5682328,18.07573741,147.7018289,NOM
-1.26E-15,-2.836251422,-2.711596269,-0.884641912,3.287618135,-0.065830403,-0.012796111,NOM
0.2,13.31316848,13.31315017,13.31314942,346.3892851,16.9893598,141.0749781,UVF
0.35,8.949471979,25.63195943,34.17721554,237.2856591,26.45582984,132.6748704,PTPF
0.2,14.76092165,14.75968608,14.7595447,474.5632698,24.7080097,144.7249577,NOM
0.35,8.583691134,25.2417003,33.58294355,237.2860854,25.79332227,133.687659,PTPF
-1.26E-15,-3.334765741,-5.329958065,-2.862213923,3.68086104,-0.051721333,-0.019985985,OLF
0.075124792,0.847754968,2.812136562,6.900284978,0.003593027,86.57298045,19.28770844,PTGF
